"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
51,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"r",7315,1,0.460874483870968,194.382298,1505.755859,10513.964843,665.38879,8,8,8,326672,179339
52,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",3256,0.645161290322581,0.205141096774194,109.955398,2098.798828,14344.580078,1064.41339,8,8,8,267805,188828
53,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",8922,0.96969696969697,0.52805396969697,78.318989,585.167968,4485.80664,257.547859,8,8,8,106922,47181
54,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",2209,0.909090909090909,0.392223,30.324503,525.169921,4460.660156,328.377093,8,8,8,108725,64279
55,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",5970,0.870967741935484,0.376134064516129,121.732433,2681.460937,13559.332031,949.3067,8,8,8,317589,228484
56,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",1484,0.727272727272727,0.263494272727273,30.587902,297.40039,4371.021484,350.557277,8,8,8,79950,27742
57,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",21,0.021505376344086,0.000441021505376344,370.232503,242.96875,6851.595703,1261.809523,8,8,8,37718,23659
58,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",4264,0.376344086021505,0.0895497311827957,240.03648,1146.853515,10377.21875,872.654784,8,8,8,204469,122465
59,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",7207,0.537634408602151,0.151356677419355,177.474577,1619.699218,9509.097656,677.41529,8,8,8,416227,197070
60,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"d",1,0.0303030303030303,5.91818181818182e-05,113.288331,335.917968,2647.388671,755,8,8,8,27764,24180
61,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2864,1,0.508522727272727,29.585574,690.082031,4105.015625,278.823673,8,8,8,134121,64166
62,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",8703,0.96969696969697,0.515092303030303,50.015938,554.470703,4959.689453,244.863954,8,8,8,123489,60029
63,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",36,0.021505376344086,0.000756043010752688,274.805372,1393.810546,9304.595703,1305.555555,8,8,8,198235,124755
64,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2381,1,0.422762727272727,24.683893,759.816406,4555.603515,294.197396,8,8,8,130242,81936
65,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",14,0.272727272727273,0.00248572727272727,65.707695,454.298828,3184.130859,406.714285,8,8,8,57162,43651
66,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",3112,1,0.552556727272727,35.37529,662.177734,4274.724609,211.013174,8,8,8,118079,68410
67,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",22399,0.946236559139785,0.470409096774194,290.97581,1184.058593,11728.785156,737.666413,8,8,8,207524,138132
68,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2111,0.818181818181818,0.374822363636364,26.439673,159.097656,5284.046875,241.870677,8,8,8,28102,16444
69,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"d",23,0.021505376344086,0.000483021505376344,206.634967,1467.945312,7088.308593,1325.130434,8,8,8,114686,109691
70,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",3329,1,0.591086636363636,22.153054,532.863281,4540.419921,235.676479,8,8,8,107006,65005
71,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",25882,0.946236559139785,0.543556784946237,135.358212,1991.945312,13113.085937,734.278842,8,8,8,410777,189080
72,"m","1:1:1","f","a","s","b",3,8,625,93,12,78,"r",25985,0.946236559139785,0.545719924731183,233.400541,1238.34375,13951.623046,729.101751,8,8,8,231231,141539
73,"m","1:1:1","f","a","s","b",3,8,225,33,4,28,"r",5475,0.939393939393939,0.324041181818182,67.868221,555.677734,4648.773437,278.624109,8,8,8,119844,63869
74,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"r",2855,1,0.506924636363636,16.387342,596.857421,4819.541015,223.552364,8,8,8,112022,63704
75,"m","1:1:1","f","a","s","b",3,8,225,11,4,28,"d",23,0.181818181818182,0.00408372727272727,38.298751,316.472656,3751.039062,555.304347,8,8,8,63364,34910
76,"m","1:1:1","f","a","s","b",3,8,625,31,12,78,"d",4797,0.774193548387097,0.302230322580645,108.146437,1904.46289,16452.107421,880.353762,8,8,8,285240,182029
