"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","QUALITY","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
8918,"a","s","t","m",4,8,625,31,12,78,"d",1373.2474916388,0.2945301542777,0.0865201153306721,191.948025772575,1252.90709875251,20719.0566075318,1263.64276331752,318890.789297659,133204.675585284
8919,"a","s","t","m",4,8,625,31,12,78,"d",2334.92642140468,0.443737188477721,0.147109764699536,211.918396538462,1988.20166786957,19273.189531087,1184.9126927509,497893.113712375,193328.344481605
8920,"a","s","t","m",4,8,625,31,12,78,"r",5651.75585284281,0.728989103463157,0.356083392706872,369.850982856187,521.809951976589,18386.9028724381,1167.27054857877,106730.505016722,56875.1204013378
8921,"a","s","t","m",4,8,625,93,12,78,"r",14350.9866220736,0.597511417988276,0.301390003020822,457.137488150502,1162.51179670569,18906.5925084515,1121.38655791525,213418.919732441,133248.321070234
8922,"a","s","t","m",4,8,625,93,12,78,"d",315.591973244147,0.0426870931779768,0.00662785122451181,135.911755157191,399.053230384615,16444.8206125318,1451.01143336059,133169.02006689,30350.8528428094
8923,"a","s","t","m",4,8,625,93,12,78,"r",14215.4983277592,0.592872298342144,0.298544566332218,465.687054438127,528.809246548495,19922.0405514114,1112.17372919048,80838.474916388,47508.4247491639
8924,"a","s","t","m",4,8,625,93,12,78,"r",13440.6321070234,0.581903837163304,0.282271334340274,444.780467541806,878.984511762542,20666.5645114816,1188.12003350169,122603.698996656,83218.8762541806
8925,"a","s","t","m",4,8,225,33,4,28,"d",851.478260869565,0.166920036485254,0.0503952429309821,67.2777556454849,166.823362608696,6638.43049704013,551.424179124555,31950.7892976589,21595.3344481605
8926,"a","s","t","m",4,8,625,31,12,78,"r",5583.04013377926,0.750566404142842,0.351754025569101,303.219449428094,1385.18579464548,18203.7155553378,1148.06935062799,325206.147157191,171769.525083612
8927,"a","s","t","m",4,8,625,93,12,78,"d",108.14381270903,0.0250296687884346,0.00227116100262524,103.876889578595,216.06063135786,16923.3955302508,1452.14566277308,72669.7859531773,19310.3177257525
8928,"a","s","t","m",4,8,225,33,4,28,"d",102.491638795987,0.0631397587919327,0.00606601854667072,50.0212163244147,130.258543698997,4817.79683537458,520.806775410156,35937.3578595318,14721.3612040134
8929,"a","s","t","m",4,8,225,33,4,28,"d",401.698996655518,0.129623999189217,0.0237747858518293,57.1838897625418,63.7778724648829,7021.91083516054,505.531232625984,13765.4013377926,6055.49498327759
8930,"a","s","t","m",4,8,225,33,4,28,"d",177.220735785953,0.072463768115942,0.0104889043275565,67.7989438461538,65.91700809699,6055.56863981605,478.626717554307,14271.2809364549,6426.78929765886
