"EXPERIMENT","MODEL","RICHNESS_TYPE","RICHNESS_VARIATION","RICHNESS","TRAITSUM","T2SRATIO","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
67,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,516.818359,253.171875,2015.367187,NA,46746,38396
68,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,216.743207,98.638671,395.984375,NA,20951,13713
69,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",1,0.0303030303030303,5.91818181818182e-05,151.595753,130.943359,858.039062,97,31011,20907
70,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,86.205972,87.80664,617.871093,NA,19792,11442
71,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",3,0.032258064516129,0.000189,397.772829,261.316406,972.599609,185,76212,35282
72,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",1,0.0909090909090909,0.000177545454545455,175.687674,95.65039,458.08789,52,19045,11859
73,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",3,0.0909090909090909,0.000532636363636364,57.596689,154.115234,516.74414,337.666666,36947,28978
74,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,253.628256,92.199218,1286.25,NA,23180,15032
75,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",1,0.010752688172043,2.1e-05,236.814691,77.363281,2651.623046,873,19563,10207
76,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",1,0.032258064516129,6.3e-05,464.611006,710.755859,1264.482421,495,197332,116198
77,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",10,0.032258064516129,0.000630032258064516,140.090516,240.908203,3505.341796,1317.2,69095,35138
78,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",4,0.0303030303030303,0.000236727272727273,185.870452,220.728515,647.980468,404.75,58944,29629
79,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",6,0.0645161290322581,0.000378,335.482455,392.128906,1427.152343,359,120796,47342
80,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,75.942709,120.373046,1026.929687,NA,21129,15731
81,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",116,0.272727272727273,0.0205965454545455,30.312337,158.447265,1005.335937,327.482758,31668,24615
82,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,98.330414,217.105468,687.785156,NA,60241,31160
83,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,131.691407,126.302734,441.224609,NA,37311,14998
84,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,69.163411,91.857421,815.484375,NA,22477,13938
85,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,415.606263,333.792968,1969.0625,NA,84176,55836
86,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",3305,0.516129032258065,0.208228322580645,191.359327,454.009765,1721.513671,386.357639,129745,77589
87,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",4,0.032258064516129,0.000252,152.488011,244.65039,2440.892578,104.75,45431,30596
88,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,285.860356,42.349609,1319.814453,NA,8984,5517
89,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,205.773437,126.121093,611.195312,NA,30492,17898
90,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",3,0.032258064516129,0.000189,170.923923,214.794921,777.396484,888.333333,69197,28793
91,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,90.822917,104.054687,930.367187,NA,17970,14001
92,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,31.27409,146.130859,1255.11914,NA,35022,24212
93,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,78.897462,110.220703,506.472656,NA,18185,14650
94,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,380.641278,289.042968,1431.234375,NA,63389,38814
95,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,440.218754,220.873046,1138.449218,NA,62222,37955
96,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,70.148764,83.279296,859.960937,NA,18134,11762
97,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,241.119795,394.146484,2024.945312,NA,76847,59470
98,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",0,0,0,198.952148,285.83789,2493.638671,NA,63459,46394
99,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",1,0.032258064516129,6.3e-05,145.732716,221.470703,1609.685546,948,51424,22649
100,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,302.690761,1021.064453,764.767578,NA,372803,137639
101,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,388.376955,64.242187,1034.84375,NA,18679,9534
102,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",2,0.0303030303030303,0.000118363636363636,108.100863,67.880859,250.316406,511,12430,7803
103,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",0,0,0,148.553129,223.162109,2568.888671,NA,41167,33034
104,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,601.856772,247.351562,1155.445312,NA,81876,28588
105,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",0,0,0,73.515625,129.189453,937.371093,NA,42718,13483
106,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,94.521159,299.570312,919.435546,NA,47236,42255
107,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,342.255535,481.787109,1882.939453,NA,114275,56767
108,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",1,0.032258064516129,6.3e-05,262.802791,213.669921,1362.878906,1517,59773,31576
109,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"r",1,0.0909090909090909,0.000177545454545455,113.6745,93.117187,595.759765,258,25077,14146
110,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,571.914389,624.9375,1358.089843,NA,190354,91618
111,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",6,0.010752688172043,0.000126,370.927863,312.007812,1576.333984,315.5,78228,51749
112,"a","bi","3_4",3,12,2,"s","b",3,2,225,11,4,28,"d",0,0,0,139.314453,139.896484,669.632812,NA,24804,20597
113,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"r",0,0,0,453.391928,812.5,2322.05664,NA,191024,114760
114,"a","bi","3_4",3,12,2,"s","b",3,2,625,93,12,78,"d",0,0,0,563.426758,556.757812,1307.785156,NA,113761,77863
115,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",0,0,0,195.110165,49.849609,288.509765,NA,15022,6226
116,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"d",0,0,0,161.299805,418.144531,2468.308593,NA,92546,67674
117,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"d",2,0.0303030303030303,0.000118363636363636,131.678926,31.40039,330.05664,488,9616,3515
118,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,98.356771,130.138671,952.683593,NA,26207,21291
119,"a","bi","3_4",3,12,2,"s","b",3,2,625,31,12,78,"r",2473,0.483870967741935,0.155808967741936,298.288212,519.240234,2021.029296,543.42782,176284,75886
120,"a","bi","3_4",3,12,2,"s","b",3,2,225,33,4,28,"r",0,0,0,121.648112,312.009765,841.371093,NA,91888,40675
121,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"r",912,0.545454545454545,0.161931818181818,17.882755,356.484375,2155.048828,277.471491,99030,52617
122,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,189.533368,158.292968,1932.882812,NA,27943,15982
123,"a","bi","3_8",3,24,2,"s","b",3,4,225,33,4,28,"d",0,0,0,242.650879,345.296875,1005.808593,NA,59238,36343
124,"a","bi","3_8",3,24,2,"s","b",3,4,225,11,4,28,"d",3,0.0909090909090909,0.000532636363636364,131.123545,164.042968,1767.9375,369.333333,29024,18099
125,"a","bi","3_8",3,24,2,"s","b",3,4,625,93,12,78,"d",1,0.010752688172043,2.1e-05,732.949765,706.300781,4013.544921,1333,101068,88329
126,"a","bi","3_8",3,24,2,"s","b",3,4,625,31,12,78,"r",0,0,0,440.306803,484.33789,4279.208984,NA,157976,50356
