"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
2998,"a","s","t",3,10,625,31,12,78,"d",2445.49498327759,0.399719495091164,0.154076030747653,113.975131421405,270.11086387291,14685.4462527023,1195.80134373665,116243.946488294,12937.016722408
2999,"a","s","t",3,10,625,93,12,78,"d",2075.98996655518,0.135397561765023,0.0435985745315928,192.834814113712,501.568398153846,12995.6606914314,1188.13086246735,177627.581939799,43955.4882943144
3000,"a","s","t",3,10,625,31,12,78,"d",3014.27759197324,0.473513863415687,0.189911627683677,118.929637809365,408.005682575251,14716.902160408,1150.55762508865,153709.56187291,33614.9030100334
3001,"a","s","t",3,5,625,93,12,78,"r",13900.5618729097,0.57672528500018,0.291930477541626,139.960464274247,177.30584326087,9191.43310992977,932.615744925676,82162.7591973244,6126.92976588629
3002,"a","s","t",3,5,225,11,4,28,"r",2056.10702341137,0.82943143812709,0.365075778656127,34.9472519732441,61.4635433812709,2980.22488328763,323.383575006897,18672.8394648829,8012.69899665552
3003,"a","s","t",3,5,225,33,4,28,"r",5518.42140468227,0.699402047228134,0.326611101347927,60.8374724481605,25.2858939431438,2993.61497266555,323.799369590444,9835.13712374582,1729.78929765886
3004,"a","s","t",3,5,225,11,4,28,"d",909.046822742475,0.516266342353299,0.161407418060201,12.1018332073579,247.754545959866,2880.75152809365,451.51258577305,67450.1571906355,27963.7190635452
3005,"a","s","t",3,5,225,33,4,28,"r",4330.58528428094,0.614067092327962,0.256308298976386,84.6735986622074,60.2853387558528,2325.76855749498,319.889341322034,17295.3110367893,4251.872909699
3006,"a","s","t",3,5,225,33,4,28,"d",505.996655518395,0.0910104388365258,0.0299477058883146,48.6050052541806,94.1918108060201,2399.33114244147,536.884650577061,40368.2408026756,5805.80602006689
3007,"a","s","t",3,5,625,93,12,78,"d",531.896321070234,0.0532240083432229,0.0111705327795159,124.307467615385,639.006224735786,5660.46129634114,1094.73371643728,188697.655518395,56504.7190635451
3008,"a","s","t",3,5,625,31,12,78,"d",886.304347826087,0.210918114143921,0.0558407336282231,95.828635548495,134.240384190635,7737.35891730769,1093.73271921771,61724.3076923077,4177.34113712375
3009,"a","s","t",3,5,225,33,4,28,"d",592.040133779264,0.133171176649438,0.035040241613459,58.3310202374582,45.5120971538462,2337.23332941137,411.084930828467,19313.5685618729,2338.95652173913
3010,"a","s","t",3,5,225,11,4,28,"r",2209.4381270903,0.849802371541502,0.392300760109456,27.5141221505017,66.2084417725753,2755.55752201672,293.875438358362,17454.3946488294,5970.88963210702
3011,"a","s","t",3,5,225,11,4,28,"r",1852.54180602007,0.806324110671937,0.328931384007297,41.8341193779264,168.250058324415,2640.24071079264,317.883095139932,52536.5284280936,24928.2474916388
