"EXPERIMENT","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_D2C_STEPS_MEAN","SIGNAL_SENT","SIGNAL_RECEIVED"
1270,"e","g","b",3,10,225,33,4,28,"d",309.552,0.0663636363636364,0.0183210215757576,0.061243346,69.921015614,619.62924219,234.959377893543,30551.102,4789.214
1271,"e","g","b",3,10,225,33,4,28,"r",7234.708,0.769030303030303,0.428190578666667,1.413875068,49.739378886,1265.926335924,118.576101765424,21058.182,3939.318
1272,"e","g","b",3,10,225,33,4,28,"d",1208.312,0.245272727272727,0.0715146773333333,0.23676692,154.45487109,493.184687498,232.589932468771,50458.254,19900.656
1273,"e","g","b",3,10,625,93,12,78,"r",24158.41,0.814451612903226,0.507359081075269,4.71929127,156.866875012,4232.319835914,285.550257278754,68902.546,10387.04
1274,"e","g","b",3,10,225,33,4,28,"r",7674.612,0.787090909090909,0.454226562424242,1.499819596,25.746007796,1448.4226875,146.81323336825,11910.116,1182.134
1275,"e","g","b",3,10,225,11,4,28,"r",2551.996,0.837090909090909,0.453124290181818,0.499199252,52.987343748,1392.177738288,159.722901019295,23086.798,3805.022
1276,"e","g","b",3,10,625,93,12,78,"d",688.184,0.0618064516129032,0.0144527890752688,0.135160498,205.984582012,1439.388148434,779.118129601863,79558.596,20516.398
1277,"e","g","b",3,10,625,93,12,78,"d",2406.268,0.15010752688172,0.0505348622365591,0.470736546,148.287011696,2356.00809765,757.247458135543,59374.542,14142.54
1278,"e","g","b",3,10,225,33,4,28,"d",735.11,0.119272727272727,0.043507930969697,0.144367196,75.576062498,528.69922267,275.566013430254,35815.12,2790.336
1279,"e","g","b",3,10,625,31,12,78,"d",2047.74,0.360774193548387,0.129015877354839,0.400678004,149.79230078,2555.896222668,866.812373446676,68308.36,7831.174
1280,"e","g","b",3,10,225,11,4,28,"r",1540.59,0.683454545454545,0.273542259090909,0.30164225,71.092875002,1011.856433582,190.733856803585,30846.318,5126.97
1281,"e","g","b",3,10,625,93,12,78,"r",21877.154,0.758838709677419,0.459449638645161,4.273742292,169.553960932,3538.457734384,430.246881468308,67306.82,15830.794
1282,"e","g","b",3,10,225,33,4,28,"r",7708.962,0.790666666666667,0.456259588,1.506511528,61.588820308,1397.00216016,123.877109078188,23130.586,6709.678
1283,"e","g","b",3,5,225,11,4,28,"d",573.314,0.356181818181818,0.101795810363636,0.22462697,20.968246094,273.158148404,303.643203256294,10046.788,675.762
1284,"e","g","b",3,5,625,93,12,78,"d",356.536,0.0388172043010753,0.00748773496774194,0.140072476,95.970152342,719.7755039,864.647044383568,40787.51,7711.57
